1001;PARALAMAS DO SUCESSO;A LHE ESPERAR;Lá onde o vento vai dar onde a nuvem beija;BRA
1002;AVIÕES DO FORRÓ - BANDA CALYPSO;AGORA CHORA;Sei que nada vai fazer você voltar mas por;BRA
1003;ASA DE ÁGUIA - IVETE SANGALO;ALÉM MAR;Tudo que eu preciso eu já tenho aqui;BRA
1004;FRESNO;ALGUÉM QUE TE FAZ SORRIR;Eu nunca consegui saber diferenciar;BRA
1005;EDUARDO COSTA - AMADO BATISTA;AMIGO;Amigo fica um pouco aqui comigo;BRA
1006;IVETE SANGALO;CADÊ DALILA?;Vai buscar Dalila... Ligeiro...;BRA
1007;IVETE SANGALO;DENGO DE AMOR;Encontrar você que coisa boa...;BRA
1008;ASA DE ÁGUIA;DIA DO ASA;Leve o seu amor pra passear;BRA
1009;ASA DE ÁGUIA;FARRAUÊ;Mãos para o alto todo mundo;BRA
1010;CHICLETE COM BANANA;FLUTUAR;Por isso vem cá me traz o amor;BRA
1011;EDSON E HUDSON - BRUNO E MARRONE;IMPREVISÍVEL;Como esquecer o seu olhar;BRA
1012;BANDA CALYPSO;MÁQUINA DO TEMPO;Saudade que não vai embora;BRA
1013;TONY GARRIDO;ME LIBERTEI;Jurei nunca mais fazer som por aqui;BRA
1014;EDUARDO COSTA;MELHOR OU PIOR;Vou caminhar por uma estrada;BRA
1015;MOACYR FRANCO;MILAGRE DA FLECHA;Era alta madrugada;BRA
1016;HUGO E TIAGO;MISTERIOSA;Tô em casa mais um dia que...;BRA
1017;GUILHERME E SANTIAGO;O AMOR É ASSIM;Coração cansou de esperar...;BRA
1018;ZEZÉ DI CAMARGO E LUCIANO;O QUE VAI SER DE NÓS;Diz nada não apenas vai pegando;BRA
1019;ARMANDINHO;OUTRA VIDA;Talvez não seja nessa vida ainda;BRA
1020;LATINO - ANDRÉ E ADRIANO;PANCADÃO OU SERTANEJO;O sertanejo faz o povo...;BRA
1021;CÉSAR MENOTTI E FABIANO;PARA DE CHORAR;Você me humilhou me maltratou me;BRA
1022;SKANK;PÁRA-RAIO;Passa o tempo lento ensaio;BRA
1023;BELO;PERFUME;Vivia com o coração fechado;BRA
1024;JAKE;PÓ PARÁ COM PÓ;Pó pará com pó pó pará com...;BRA
1025;JAMMIL E UMA NOITES;SAUDADE DÓI;La la la... Ah que bom seria...;BRA
1026;LUIZ CLÁUDIO E GIULIANO;SEU JARDINEIRO (MARGARIDA);Sábado à tarde eu saí;BRA
1027;DANIELA MERCURY;SOL DO SUL;Eu trago o sol nos meus olhos;BRA
1028;BANDA EVA;TODA LINDA;Olha lá ela passando toda linda;BRA
1029;JOTA QUEST;VEM ANDAR COMIGO;Basta olhar no fundo dos...;BRA
1030;BANDA CALYPSO;VIAGEM LOUCA;De onde vem essa vontade de ficar;BRA
1031;LUCINHA LINS;A BAILARINA;Um dois três e quatro dobro a perna e dou;BRA
1032;SIMONE;A BICICLETA;B-I-C-I-C-L-E-T-A sou sua amiga;BRA
1033;BOCA LIVRE;A CASA;Era uma casa muito engraçada;BRA
1034;INFANTIL;ADOLETÁ;Ado-le-ta lê peti lê tomá...;BRA
1035;XUXA;ARCO-ÍRIS;Vou pintar um arco-íris de energia;BRA
1036;INFANTIL (BALÃO MÁGICO);ATIREI O PAU NO GATO;Atirei o pau no gato to...;BRA
1037;BALÃO MÁGICO (A TURMA DO);BAILE DOS PASSARINHOS;Passarinho quer dançar o rabicho;BRA
1038;OS SALTIMBANCOS;BICHARIA;Au au au ió i-ó miau miau miau co corocó;BRA
1039;14 BIS;BOLA DE MEIA BOLA DE GUDE;Há um menino há um moleque;BRA
1040;INFANTIL;CAI CAI BALÃO;Cai cai balão cai cai balão...;BRA
1041;RAUL SEIXAS;CARIMBADOR MALUCO;Cinco quatro três dois pare espere;BRA
1042;INFANTIL;COELHINHO DE OLHOS VERMELHOS;De olhos vermelhos de pêlo...;BRA
1043;CHIQUITITAS;CORAÇÃO COM BURAQUINHOS;Sabe o coração às vezes chora;BRA
1044;JAIRZINHO E SIMONY;CORAÇÃO DE PAPELÃO;Recortei a luz da lua e colei...;BRA
1045;INFANTIL - ELIANA;DEDINHOS (REMIX);Ou ou... Dedinhos... Polegares polegares;BRA
1046;BALÃO MÁGICO (A TURMA DO);DIA DOS PAIS;Um passarinho me acordou cedinho;BRA
1047;SANDY E JÚNIOR;DIG-DIG-JOY;Dig-dig-joy dig-joy bo boy;BRA
1048;MULEKADA;FOI DE BRINCADEIRA;Vamos brincar do que brincar de dançar;BRA
1049;INFANTIL;FUI MORAR NUMA CASINHA;Fui morar numa casinha nha...;BRA
1050;OS SALTIMBANCOS;HISTÓRIA DE UMA GATA;Me alimentaram me acariciaram;BRA
1051;INFANTIL;MEU LANCHINHO;Meu lanchinho meu lanchinho...;BRA
1052;INFANTIL;MEU PINTINHO AMARELINHO;Meu pintinho amarelinho...;BRA
1053;XUXA;MILAGRE DA VIDA;Descobri uma palavra que ninguém sabe;BRA
1054;CHICO BUARQUE;O CADERNO;Sou eu que vou seguir você;BRA
1055;MPB4;O PATO;Lá vem o pato pata aqui pata acolá;BRA
1056;INFANTIL;O SAPO NÃO LAVA O PÉ;O sapo não lava o pé não lava...;BRA
1057;INFANTIL;O SAPO UÁ QUÁ QUÁ;O sapo o sapo na beira da...;BRA
1058;INFANTIL;O SÍTIO DO SEU LOBATO;Seu Lobato tinha um sítio...;BRA
1060;XUXA;PARABÉNS DA XUXA;Hoje vai ser uma festa;BRA
1061;INFANTIL;PIRULITO QUE BATE BATE;Pirulito que bate bate pirulito...;BRA
1062;INFANTIL;PIUÍ PIUÍ PIUÍ;Piuí piuí piuí coloca a mão ...;BRA
1063;CASTELO RÁ - TIM - BUM;RATINHO TOMANDO BANHO;Tchau preguiça tchau sujeira;BRA
1064;INFANTIL;SAMBA LELÊ;Samba lelê tá doente...;BRA
1065;NEY MATOGROSSO;SÃO FRANCISCO;Lá vai São Francisco pelo caminho;BRA
1066;BALÃO MÁGICO (A TURMA DO);SUPERFANTÁSTICO;Super fantástico amigo;BRA
1067;JANA BIANCHI;TEMA DE POKÉMON;Esse meu jeito de viver...;BRA
1068;INFANTIL;UM, DOIS, TRÊS INDIOZINHOS;Um dois três indiozinhos...;BRA
1069;BALÃO MÁGICO (A TURMA DO);URSINHO PIMPÃO (MI OSITO PELÓN);Vem meu ursinho querido meu;BRA
1070;SANDY E JÚNIOR;VAI TER QUE REBOLAR;Garota o que é que eu faço;BRA
1071;MUSICAL SAN FRANCISCO;ATENDA O TELEFONE;Atenda o telefone por favor meu bem;BRA
1072;JEITO MOLEQUE;CORAÇÃO ABERTO;Ta na cara o meu sentimento...;BRA
1073;ALEXANDRE PIRES;DESSA VEZ EU ME RENDO;Dizem que amor não mata mas judia da;BRA
1074;BANDA CHEIRO DE AMOR;DIAS DE SOL;Dias de Sol... eu não tenho muita coisa pra;BRA
1075;MART'NÁLIA;ELA É MINHA CARA;Causa reboliço aonde passa;BRA
1076;FREJAT;EU NÃO QUERO BRIGAR MAIS NÃO;Eu amo o cheiro do seu cabelo;BRA
1077;ALEXANDRE PEIXE;EU SOU MAIS VOCÊ;Ô ô... ô ô ô ô... Não quero ficar tentando d;BRA
1078;RODRIGUINHO - THIAGUINHO;FATALMENTE;Passei a vida inteira;BRA
1079;SWING E SIMPATIA;IRRACIONAL;Já tem um mês e tal que a gente está;BRA
1080;EXALTASAMBA;JOGO DE SEDUÇÃO;Lê... Só você tem o meu amor;BRA
1081;JOTA QUEST;LA PLATA;Grana suja grana justa grana...;BRA
1082;TATAU;MAIS DE MIL MOTIVOS;Eta garota assustada;BRA
1083;WANESSA CAMARGO;ME PEGA DE JEITO;Se correr o bicho pega;BRA
1084;INIMIGOS DA HP;MIL PALAVRAS;Já procurei mil palavras pra...;BRA
1085;VÍCTOR E LÉO;NADA NORMAL;Lareira pra acender;BRA
1086;SEU CUCA;NÃO HÁ;Eu quero você do lado esquerdo;BRA
1087;JEITO MOLEQUE;NAS NUVENS;Voz de criança pista de dança...;BRA
1088;ZEZÉ DI CAMARGO E LUCIANO;NUNCA AMEI ASSIM;Sei que quero sei que amo;BRA
1089;STRIKE;O JOGO VIROU;E eu sigo em frente;BRA
1090;PAPAS DA LÍNGUA;OBA, OBA;Oba oba oba... Disseram que você anda;BRA
1091;ROBERTO LEAL;BATE O PÉ;Ai bate o pé bate o pé bate o pé;BRA
1092;TIHUANA;DE LONGE;Ver as coisas como elas são;BRA
1093;JOSÉ AUGUSTO;DE QUE VALE TER TUDO NA VIDA;Nada mais importa agora...;BRA
1094;ISABELLA TAVIANI;DIGA SIM PRA MIM;Eu pensei em comprar algumas...;BRA
1095;O RAPPA;MEU MUNDO É O BARRO;Moço peço licença eu sou novo aqui;BRA
1096;BIQUINI CAVADÃO - RENATO RUSSO;MÚMIAS;Bem aventurados sejam aqueles;BRA
1097;LEONARDO;POR QUE É TÃO CRUEL O AMOR?;Não se acaba o amor só dizendo adeus;BRA
1098;SORRISO MAROTO;TARDE DEMAIS;Tarde demais pra você se tocar;BRA
1099;ROBERTO LEAL;VERDE VINHO;Ninguém na rua na noite fria;BRA
1100;ZÉ RAMALHO;VILA DO SOSSEGO;Oh eu não sei se eram os antigos que;BRA
1101;ZECA BALEIRO;VOCÊ É MÁ;Vá se danar... Você dá nada a ninguém;BRA
1102;EDUARDO COSTA - BRUNO E MARRONE;VOCÊ FOI ATRIZ;Vou tentar te esquecer mas ...;BRA
1103;NARA LEÃO;ATÉ QUEM SABE;Até um dia até talvez até...;BRA
1104;INIMIGOS DA HP;BONS MOMENTOS;São seus olhos sua boca...;BRA
1105;MART'NÁLIA;CABIDE;Se eu fingir e sair por aí na;BRA
1106;ALEXANDRE PIRES - DANIEL;CHEGUEI TARDE DEMAIS;Não faz não quer não vem não fala nada;BRA
1107;MART'NÁLIA;DON'T WORRY, BE HAPPY;Here's a little song I wrote;BRA
1108;LENINE;É O QUE ME INTERESSA;Daqui desse momento no...;BRA
1109;GONZAGUINHA;FELIZ;Para quem bem viveu o amor...;BRA
1110;GRUPO TO LEGAL;LOUCA AMIZADE;Toda madrugada eu só penso...;BRA
1111;DOCE ENCONTRO;LUGARES PROIBIDOS;Eu gosto do claro quando é ...;BRA
1112;NATIRUTS;NATICONGO;Tinha a coragem e a calma de um rei;BRA
1113;SAMPA CREW;NO MESMO LUGAR;Já faz algum tempo que eu não ouço;BRA
1114;FERNANDO E SOROCABA;NOITE ENLUARADA;Noite enluarada hoje vou te amar;BRA
1115;É DEMAIS;OUVE ESSA CANÇÃO;Vem... ouve essa canção;BRA
1116;DOCE ENCONTRO;PERDOA;Perdoa... Eu sei que é tarde mas me escuta;BRA
1117;ATITUDE 4;PRO MUNDO INTEIRO;Eu nunca tive amor assim;BRA
1118;EXALTASAMBA;SE LIGA;Já faz um tempo que eu venho te;BRA
1119;ADRIANA CALCANHOTO;SEU PENSAMENTO;A uma hora dessas por onde estará seu;BRA
1120;ALCEU VALENÇA;SOLIDÃO;A solidão é fera a solidão ...;BRA
1121;FREJAT;TÚNEL DO TEMPO;Nosso encontro aconteceu como eu;BRA
1122;NEY MATOGROSSO;UM POUCO DE CALOR;Saí a toa nessa madrugada;BRA
1123;AUTO - SUSTENTÁVEL;2 MUNDOS;Será que dois mundos tão diferentes;BRA
1124;NEGRA LI;AMAR EM VÃO;Hey me diz por que eu já não sei;BRA
